<<<<<<< HEAD
"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","RDataClass","DispatchClass","RDataPath","Tags","Maintainer"
"ENCODE rE2G complete","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rds","ChIPDBData/data/encode_re2g_object_hg38.rds","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 0.25 score","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rds","ChIPDBData/data/encode_re2g-25_object_hg38.rds","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 0.5 score","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rds","ChIPDBData/data/encode_re2g-5_object_hg38.rds","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 0.75 score","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rds","ChIPDBData/data/encode_re2g-75_object_hg38.rds","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 50 depth","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rds","ChIPDBData/data/encode_re2g-50depth_object_hg38.rds","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 100 depth","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rds","ChIPDBData/data/encode_re2g-100depth_object_hg38.rds","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 200 depth","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rds","ChIPDBData/data/encode_re2g-200depth_object_hg38.rds","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 300 depth","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rds","ChIPDBData/data/encode_re2g-300depth_object_hg38.rds","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"CREdb","ChIPDB object for TFEA.ChIP. Comprehensive database of Cis-Regulatory Elements.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"CREDB","list","Rds","ChIPDBData/data/credb_object_hg38.rds","ChIP-seq,TF,CRE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"GeneHancer","ChIPDB object for TFEA.ChIP. Genome-Wide Integration of Enhancers and Target Genes.","3.18","GRCh38","RDS","https://zenodo.org/records/15646710","2024","Homo sapiens","9606",TRUE,"GeneHancer","list","Rds","ChIPDBData/data/genehancer_object_hg38.rds","ChIP-seq,TF,Enhancer","Yosra Berrouayel <yosraberrouayel@gmail.com>"
=======
"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags","Maintainer"
"ENCODE rE2G complete","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/15667485/files/encode_re2g_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 0.25 score","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/15667485/files/encode_re2g-25_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 0.5 score","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/15667485/files/encode_re2g-5_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 0.75 score","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/15667485/files/encode_re2g-75_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 50 depth","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/15667485/files/encode_re2g-50depth_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 100 depth","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/15667485/files/encode_re2g-100depth_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 200 depth","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/15667485/files/encode_re2g-200depth_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"ENCODE rE2G greater than 300 depth","ChIPDB object for TFEA.ChIP. Processed rE2G dataset.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"ENCODE","list","Rda","https://zenodo.org/","records/15667485/files/encode_re2g-300depth_object_hg38.rda","ChIP-seq,TF,ENCODE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"CREdb","ChIPDB object for TFEA.ChIP. Comprehensive database of Cis-Regulatory Elements.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"CREDB","list","Rda","https://zenodo.org/","records/15667485/files/credb_object_hg38.rda","ChIP-seq,TF,CRE","Yosra Berrouayel <yosraberrouayel@gmail.com>"
"GeneHancer","ChIPDB object for TFEA.ChIP. Genome-Wide Integration of Enhancers and Target Genes.","3.22","GRCh38","RDA","https://zenodo.org/records/15667485","2024","Homo sapiens","9606",TRUE,"GeneHancer","list","Rda","https://zenodo.org/","records/15667485/files/genehancer_object_hg38.rda","ChIP-seq,TF,Enhancer","Yosra Berrouayel <yosraberrouayel@gmail.com>"
>>>>>>> master
